week,threshold,scenario,tp_weight,fp_penalty,fn_penalty,net_utility,alerts_sent,precision,recall
12,0.5,balanced,1.0,0.5,0.25,0.3667321143698613,3898,0.8814776808619805,0.798698279869828
12,0.5,false_alert_sensitive,1.0,1.0,0.25,0.3383850779236716,3898,0.8814776808619805,0.798698279869828
12,0.5,high_precision,1.0,2.0,0.5,0.2551233280157075,3898,0.8814776808619805,0.798698279869828
12,0.5,high_recall,1.0,0.25,1.0,0.301202601546202,3898,0.8814776808619805,0.798698279869828
12,0.6000000000000001,balanced,1.0,0.5,0.25,0.347557982574549,3493,0.9249928428285141,0.7510460251046025
12,0.6000000000000001,false_alert_sensitive,1.0,1.0,0.25,0.33148239047735917,3493,0.9249928428285141,0.7510460251046025
12,0.6000000000000001,high_precision,1.0,2.0,0.5,0.26647441403853234,3493,0.9249928428285141,0.7510460251046025
12,0.6000000000000001,high_recall,1.0,0.25,1.0,0.25702540188980244,3493,0.9249928428285141,0.7510460251046025
12,0.7000000000000002,balanced,1.0,0.5,0.25,0.3209903055589643,3135,0.9585326953748007,0.698512319851232
12,0.7000000000000002,false_alert_sensitive,1.0,1.0,0.25,0.31301386673211434,3135,0.9585326953748007,0.698512319851232
12,0.7000000000000002,high_precision,1.0,2.0,0.5,0.2572708307767824,3135,0.9585326953748007,0.698512319851232
12,0.7000000000000002,high_recall,1.0,0.25,1.0,0.20560805006749294,3135,0.9585326953748007,0.698512319851232
12,0.8,balanced,1.0,0.5,0.25,0.28745858387532214,2824,0.9773371104815864,0.6415620641562064
12,0.8,false_alert_sensitive,1.0,1.0,0.25,0.28353172168364216,2824,0.9773371104815864,0.6415620641562064
12,0.8,high_precision,1.0,2.0,0.5,0.22837157933488772,2824,0.9773371104815864,0.6415620641562064
12,0.8,high_recall,1.0,0.25,1.0,0.14750276107497853,2824,0.9773371104815864,0.6415620641562064
