AUROC,AUPRC,Brier,ECE,Precision,Recall,F1,F1_opt_th,Precision_opt_th,Recall_opt_th,opt_threshold,OOF_train_F1_at_opt_threshold,week,model,target,seed,AUROC_CI_low,AUROC_CI_high,n_features
0.7264085091371265,0.39074249350167656,0.16811398697400118,0.12104155947902558,0.4305732484076433,0.38127467569091933,0.40442716123242595,0.4653839237547204,0.3416050686378036,0.7298364354201917,0.35,0.4685432455190665,6,RandomForest,failure,42,0.716334947241536,0.7412914682760106,82
0.7314356448781067,0.409766178733299,0.20895738325658367,0.23289588704460204,0.3474669603524229,0.7117879300620418,0.4669750231267345,0.4669750231267345,0.3474669603524229,0.7117879300620418,0.5,0.4718397997496871,6,XGBoost,failure,42,0.7211097504567695,0.7467455837473125,82
0.7324494314197134,0.40574710101942346,0.15098356459238474,0.010905698949609964,0.53125,0.05752961082910321,0.10381679389312977,0.4700724361418223,0.355024474517708,0.6954314720812182,0.225,0.4679004467134652,6,Stable-Causal-Temporal,failure,42,0.7217174976317491,0.7457879149899428,75
0.8706076065680807,0.7936077917547416,0.1376519605137626,0.11504757485869521,0.6976573938506588,0.7536575721629103,0.7245770766014066,0.725615668024045,0.7119482496194824,0.7398181099248715,0.525,0.7113630440448266,8,Logistic,dropout,42,0.8586530536872369,0.8792495736253539,83
0.8753654406042926,0.8011518346711484,0.12525938099516543,0.06790085053774005,0.7382305194805194,0.719256623171214,0.7286200680953334,0.7275822928490352,0.6974972796517954,0.7603795966785291,0.42500000000000004,0.7177973172453629,8,RandomForest,dropout,42,0.8655763412007595,0.8835078569778283,83
0.8760965680666546,0.8079347122386183,0.1342721302379591,0.11273690235248693,0.7015250544662309,0.763938315539739,0.7314026121521863,0.7278582930756844,0.7412874128741287,0.7149070778964017,0.5750000000000001,0.7189756164010352,8,XGBoost,dropout,42,0.8654377884214317,0.8840709719707626,83
0.8762691567848544,0.8095891355859246,0.11871902935640201,0.012065927832083313,0.797584541062802,0.652827204428628,0.7179821700369645,0.7287512100677638,0.7139605462822458,0.7441676551996836,0.35,0.7198840808799315,8,Stable-Causal-Temporal,dropout,42,0.8660156812042619,0.8843743894736328,75
0.7200013215802916,0.3969698507348244,0.2143108875853903,0.23962862370104326,0.35013341239252893,0.6661026508742245,0.458997279440342,0.458997279440342,0.35013341239252893,0.6661026508742245,0.5,0.4611682060621829,8,Logistic,failure,42,0.7060483785783325,0.7344960662479006,83
0.7454995945030751,0.4127274184404174,0.16380801643905224,0.11764938372788582,0.43952802359882004,0.42019176536943037,0.42964244521337946,0.4815555151735417,0.3552278820375335,0.7473209249858996,0.35,0.4844652520216453,8,RandomForest,failure,42,0.7339290467539463,0.7568409992139227,83
0.7486305190572939,0.431662320375611,0.20364199540522737,0.22709054788690003,0.3609550561797753,0.7247602932882121,0.4819051190699419,0.4819051190699419,0.3609550561797753,0.7247602932882121,0.5,0.4858330185115225,8,XGBoost,failure,42,0.7373781382048681,0.7604434310679792,83
0.7503716612848096,0.4237496535820215,0.1478130887727057,0.013674188458074615,0.5669014084507042,0.09080654258319233,0.15653864851725816,0.48845640145010494,0.3690888119953864,0.7219402143260011,0.225,0.48084340447415785,8,Stable-Causal-Temporal,failure,42,0.7384651275254237,0.7626456726551857,75
0.8804304586371048,0.8021323086014294,0.13263724143150363,0.11078761267897001,0.7014440433212996,0.7682878608145512,0.7333459143234573,0.7346698113207547,0.7303634232121923,0.7390272835112692,0.55,0.7249455697037672,10,Logistic,dropout,42,0.870374008284261,0.8876956125605765,83
0.8854629008132001,0.8123843502850673,0.12015008801478141,0.06537365448644011,0.741961095672886,0.7390272835112692,0.7404912836767037,0.7429557216791259,0.7209821428571429,0.7663107947805456,0.45000000000000007,0.7343527277439419,10,RandomForest,dropout,42,0.8761905066420477,0.8923624597992841,83
0.8872181977319324,0.8192229217197661,0.1280135883097781,0.10713794178586897,0.7132892804698973,0.7682878608145512,0.7397677517608985,0.7420357420357421,0.7292859870179458,0.7552392249901146,0.525,0.7367731796752226,10,XGBoost,dropout,42,0.8781988758066374,0.8943197023763335,83
0.8883662328378706,0.8216674464076671,0.11387513150296069,0.011281793951930956,0.7874548736462094,0.689996045867932,0.7355110642781876,0.7427203829278022,0.7492957746478873,0.7362593910636616,0.4,0.7359709325797336,10,Stable-Causal-Temporal,dropout,42,0.8794872017545996,0.8954480014630982,75
0.7214308220830935,0.3905383015468399,0.21431334779216646,0.23801920061277845,0.34791605084244753,0.6638465877044557,0.45655546935609,0.45655546935609,0.34791605084244753,0.6638465877044557,0.5,0.4694542138856324,10,Logistic,failure,42,0.7094514603292538,0.7337604596505748,83
0.7552853923448125,0.42636108084908975,0.16112433056745343,0.11388363493611693,0.4510250569476082,0.4467005076142132,0.44885236610937945,0.49347917543121583,0.3934921167393492,0.6615905245346869,0.4,0.4985209184392168,10,RandomForest,failure,42,0.7443078776433905,0.7675801764510484,83
0.7605032903280139,0.4426401967270535,0.1996595617362138,0.2223379202241919,0.36819606725562837,0.7287084038353074,0.4892086330935252,0.49368357730098256,0.38301182327317984,0.6943034404963339,0.525,0.4980109230665498,10,XGBoost,failure,42,0.749424161604116,0.7720940617390664,83
0.7638123274603509,0.44744914848935513,0.1448885270871874,0.011881205792581865,0.5893271461716937,0.14326001128031585,0.23049001814882034,0.49649259547934527,0.37927954748437037,0.718556119571348,0.225,0.4973338535570295,10,Stable-Causal-Temporal,failure,42,0.7524343685238013,0.7747880631769699,75
0.8845267846714764,0.8032297246653272,0.13069658188100222,0.10861246410589945,0.7054402290622763,0.7793594306049823,0.7405598346796919,0.7413624829201639,0.7320740169622205,0.7508896797153025,0.55,0.7294689161688439,12,Logistic,dropout,42,0.8749069402628429,0.8924032380760795,83
0.8902064521303766,0.8155743365809767,0.11851477774879014,0.06417439153156601,0.7512994802079168,0.7429814155792803,0.747117296222664,0.7479073389137629,0.736579754601227,0.7595887702649269,0.475,0.7397855122047503,12,RandomForest,dropout,42,0.8811467846973107,0.8973128892896237,83
0.8925222226443715,0.8234803747288917,0.12567114441691865,0.10520094393763142,0.719170607493634,0.7817319098457889,0.7491474043198181,0.7491474043198181,0.719170607493634,0.7817319098457889,0.5,0.7423971377459749,12,XGBoost,dropout,42,0.882851788928633,0.899867455352055,83
0.8927434288938703,0.8256520240998547,0.1118768178169513,0.011982027146958608,0.7953929539295393,0.6963226571767497,0.7425679949399114,0.7473002159827213,0.7421996879875195,0.7524713325425069,0.375,0.7425291905798536,12,Stable-Causal-Temporal,dropout,42,0.8835354944106116,0.8997964371910658,75
0.7256080419310712,0.3944115750185612,0.21330963890320256,0.23702724464935815,0.35103244837758113,0.6711787930062042,0.4609723029246562,0.4609723029246562,0.35103244837758113,0.6711787930062042,0.5,0.4718369473204402,12,Logistic,failure,42,0.711987665174523,0.7381015247965489,83
