train_module,test_module,target,baseline_AUROC,stable_causal_AUROC,baseline_AUPRC,stable_causal_AUPRC,baseline_ECE,stable_causal_ECE,baseline_Brier,stable_causal_Brier,AUROC_delta,AUPRC_delta,ECE_delta,Brier_delta
FFF,CCC,failure,0.739486392010075,0.7394457329548303,0.3412342222623121,0.3573656771382004,0.37776739008213867,0.11259840995458306,0.2878677606013297,0.14539082706615236,-4.065905524475166e-05,0.016131454875888296,-0.26516898012755563,-0.14247693353517732
FFF,DDD,dropout,0.865564893088016,0.8610465219072877,0.8115552408249439,0.8072584054138208,0.08754799302253985,0.03492788118441998,0.1432912814803753,0.138202676165066,-0.004518371180728287,-0.004296835411123134,-0.05262011183811987,-0.005088605315309275
FFF,DDD,failure,0.738639483440003,0.7269722193077559,0.42355961423154354,0.4067650329585515,0.22606759131749454,0.03027429773345478,0.21122604818715518,0.15675504342823343,-0.011667264132247057,-0.01679458127299205,-0.19579329358403977,-0.05447100475892175
FFF,EEE,dropout,0.9010819228283902,0.8878664223850766,0.7946396147106781,0.778336753116774,0.1554292649216061,0.09142145437205172,0.1207016644502589,0.10987410323013909,-0.013215500443313544,-0.01630286159390415,-0.06400781054955439,-0.01082756122011981
FFF,EEE,failure,0.7718290344649619,0.7657273019149867,0.4421929042942101,0.4421215463545833,0.2055087171599076,0.02357294860760308,0.1763914773652502,0.13137416392168394,-0.006101732549975147,-7.135793962681491e-05,-0.1819357685523045,-0.04501731344356627
FFF,GGG,dropout,0.7720112912883554,0.7678037894248042,0.39111987260784437,0.39067006044635333,0.5296068486611298,0.321147118146609,0.3688149123677216,0.19613451052450634,-0.004207501863551233,-0.00044981216149103664,-0.20845973051452082,-0.1726804018432153
FFF,GGG,failure,0.4720718788409818,0.4689253161013959,0.29379579085317153,0.277043071995024,0.414922623141671,0.20941301961812767,0.3821960242010698,0.2633552538810533,-0.003146562739585912,-0.016752718858147553,-0.20550960352354333,-0.1188407703200165
GGG,AAA,dropout,0.668453018935334,0.6609758587250549,0.4447430994013173,0.42395506208140243,0.052557177461912845,0.12777870702737923,0.1212055626258563,0.1368712733626023,-0.00747716021027911,-0.020788037319914854,0.07522152956546638,0.015665710736745997
GGG,AAA,failure,0.699700603810193,0.6336494555672638,0.23767550229210938,0.20803588596621136,0.126285928894173,0.050627152932422766,0.12087359364068623,0.10931217225131132,-0.06605114824292913,-0.02963961632589801,-0.07565877596175025,-0.01156142138937491
GGG,BBB,dropout,0.8352645161446914,0.8237770085712024,0.7420564024762597,0.7448459111881138,0.05334088879383422,0.12952930126705914,0.13159800454755102,0.1489636953618321,-0.011487507573489042,0.0027895087118541273,0.07618841247322491,0.017365690814281076
GGG,BBB,failure,0.6137577428513669,0.623395845576589,0.2915622335694572,0.30869261159241274,0.11370846812557611,0.0808420057156849,0.19813294560703007,0.17598285022013518,0.009638102725222142,0.017130378022955528,-0.03286646240989122,-0.022150095386894886
GGG,CCC,dropout,0.8050715274810694,0.791955461981561,0.7969152187783333,0.7810437983472476,0.1265123697464263,0.2774414418345686,0.19291588388787773,0.26893844519629984,-0.01311606549950839,-0.015871420431085692,0.1509290720881423,0.07602256130842211
GGG,CCC,failure,0.6115691486098983,0.6280907454031609,0.2317448629103812,0.24102266760158508,0.21036980691524265,0.11819921348474627,0.2131154099274317,0.1674924565672359,0.016521596793262594,0.009277804691203873,-0.09217059343049638,-0.045622953360195784
GGG,DDD,dropout,0.8196367755124593,0.8003597988839162,0.753888272763879,0.7365023694294235,0.10883513287121692,0.23786896934794907,0.1707812087560684,0.23074868148791905,-0.019276976628543108,-0.017385903334455555,0.12903383647673217,0.05996747273185066
GGG,DDD,failure,0.594041956656058,0.6001704962753122,0.27166317873207163,0.28099714695707634,0.13240195113357173,0.11560758844260278,0.21013911703331314,0.18837814714237047,0.006128539619254192,0.009333968225004707,-0.016794362690968942,-0.021760969890942672
GGG,EEE,dropout,0.8511809795975616,0.848336071691554,0.7257723464973245,0.7238308539093183,0.06292321873957643,0.13882222619482873,0.11371752058039655,0.14199205999733733,-0.0028449079060075544,-0.0019414925880061329,0.0758990074552523,0.028274539416940775
GGG,EEE,failure,0.6884965763084143,0.6889564191966777,0.3035284207726554,0.31667354659602914,0.10266402143230832,0.09330172388057993,0.16736044716946882,0.15543257735558386,0.00045984288826339537,0.013145125823373738,-0.00936229755172839,-0.011927869813884967
GGG,FFF,dropout,0.7889905143606257,0.7832820702056744,0.7158496893759114,0.7175486987134353,0.10136816891846631,0.2041401048360815,0.1569315771253451,0.1964463136090564,-0.005708444154951309,0.0016990093375238713,0.10277193591761519,0.03951473648371129
GGG,FFF,failure,0.6068422306749535,0.6081095608427143,0.28633698154209475,0.3049418825380076,0.09433226190801135,0.09592357768562114,0.1907147279291559,0.17774661105417586,0.0012673301677608162,0.018604900995912832,0.001591315777609792,-0.012968116874980035
